TIPO_ELECCION;ANIO;MES;VUELTA;COD_CCAA;COD_PROV;COD_MUN;DISTRITO;MUNICIPIO;COD_DIST_ELEC;COD_PART_JUD;COD_DIP_PROV;COD_COM;POBLACION_DER;N_MESAS;CENSO;CENSO_ESCR;CENSO_CERE;VOTOS_CERE;VOTOS_1AVANCE;VOTOS_2AVANCE;VOTOS_BLANCO;VOTOS_NULOS;VOTOS_CAND;ESCANIOS;VOTOS_REFR_SI;VOTOS_REFR_NO;DATOS_OFIC
04;2011;05;1;01;11;034;99;Setenil de las Bodegas;0;006;006;000;00002967;00004;00002381;00002381;00000006;00000000;00001147;00001672;00000021;00000025;00001996;011;00000000;00000000;S
04;2011;05;1;01;11;035;99;Tarifa;0;004;004;000;00017768;00025;00013705;00013720;00000470;00000000;00005139;00007054;00000159;00000140;00009359;017;00000000;00000000;S
04;2011;05;1;01;11;036;99;Torre Alháquime;0;006;006;000;00000833;00002;00000721;00000729;00000001;00000000;00000308;00000228;00000027;00000004;00000579;007;00000000;00000000;S
04;2011;05;1;01;11;037;99;Trebujena;0;032;032;000;00007034;00010;00005633;00005633;00000015;00000000;00002195;00001200;00000090;00000097;00004111;013;00000000;00000000;S
04;2011;05;1;01;11;038;99;Ubrique;0;006;006;000;00016915;00023;00013861;00013861;00000005;00000000;00006518;00007374;00000172;00000148;00010446;017;00000000;00000000;S
04;2011;05;1;01;11;039;99;Vejer de la Frontera;0;015;015;000;00012876;00017;00010106;00010106;00000172;00000000;00003439;00003095;00000130;00000070;00006616;017;00000000;00000000;S
04;2011;05;1;01;11;040;99;Villaluenga del Rosario;0;006;006;000;00000479;00001;00000406;00000406;00000000;00000000;00000166;00000257;00000008;00000016;00000327;007;00000000;00000000;S
04;2011;05;1;01;11;041;99;Villamartín;0;006;006;000;00012570;00016;00009780;00009780;00000009;00000000;00004026;00001815;00000116;00000113;00006890;017;00000000;00000000;S
04;2011;05;1;01;11;042;99;Zahara;0;006;006;000;00001519;00002;00001247;00001258;00000008;00000000;00000568;00000915;00000013;00000010;00001043;009;00000000;00000000;S
04;2011;05;1;01;11;901;99;Benalup-Casas Viejas;0;031;031;000;00007183;00008;00005574;00005574;00000021;00000000;00002382;00003150;00000090;00000070;00004021;013;00000000;00000000;S
